APT_OACI,APT_IATA,APT_NOM,APT_ISO2,APT_PAYS,PAYS_ZON,PAYS_FSC,APT_LAT,APT_LONG,count_dep,count_arr,min_anmois,max_anmois,ZON,dep,AVG_PC15_D,AVG_RETARD_D,arr,AVG_PC15_A,AVG_RETARD_A
"LFTW","FNI","NIMES-GARONS","FR","France (Métrop.)","M","CC",43.76,4.42,14,13,199001,201803,"I","LFTW",0.51,85.313,"LFTW",0.475,91.485
"LFSN","ENC","NANCY-ESSEY","FR","France (Métrop.)","M","CC",48.69,6.23,1,2,199001,199110,"D",(null),(null),(null),(null),(null),(null)
"LFSL","BVE","BRIVE-SOUILLAC","FR","France (Métrop.)","M","CC",45.04,1.49,5,5,199010,201803,"I","LFSL",0.12,7.662,"LFSL",0.177,9.482
"LFGJ","DLE","DOLE-TAVAUX","FR","France (Métrop.)","M","CC",47.04,5.44,15,16,199004,201803,"I","LFGJ",0.404,38.197,"LFGJ",0.217,26.205
"LFSF","MZM","METZ-FRESCATY","FR","France (Métrop.)","M","CC",49.08,6.13,9,10,199001,199405,"I",(null),(null),(null),(null),(null),(null)
"LFSB","MLH","BALE-MULHOUSE","FR","France (Métrop.)","M","CC",47.59,7.53,187,194,199001,201803,"I","LFSB",0.165,9.922,"LFSB",0.142,8.234
"LFRQ","UIP","QUIMPER-PLUGUFFAN","FR","France (Métrop.)","M","CC",47.98,-4.17,11,10,199001,201803,"I","LFRQ",0.209,11.222,"LFRQ",0.229,12.456
"LFJA","XCW","CHAUMONT-SEMOUTIER","FR","France (Métrop.)","M","CC",48.09,5.05,(null),1,199709,199710,"D",(null),(null),(null),(null),(null),(null)
"LFTH","TLN","TOULON-HYERES","FR","France (Métrop.)","M","CC",43.1,6.15,33,34,199001,201803,"I","LFTH",0.184,9.848,"LFTH",0.195,10.265
"LFST","SXB","STRASBOURG-ENTZHEIM","FR","France (Métrop.)","M","CC",48.54,7.63,78,85,199001,201803,"I","LFST",0.171,11.26,"LFST",0.152,10.066
"LFSG","EPL","EPINAL-MIRECOURT","FR","France (Métrop.)","M","CC",48.33,6.07,2,2,199009,201508,"I",(null),(null),(null),(null),(null),(null)
"LFAT","LTQ","LE TOUQUET-COTE D’OP","FR","France (Métrop.)","M","CC",50.51,1.63,1,1,199005,200308,"I",(null),(null),(null),(null),(null),(null)
"LFRG","DOL","DEAUVILLE-NORMANDIE","FR","France (Métrop.)","M","CC",49.36,0.16,42,42,199008,201803,"I","LFRG",0.298,23.167,"LFRG",0.248,21.32
"LFLJ","CVF","COURCHEVEL","FR","France (Métrop.)","M","CC",45.4,6.63,1,1,199102,199103,"D",(null),(null),(null),(null),(null),(null)
"LFLO","RNE","ROANNE","FR","France (Métrop.)","M","CC",46.05,4.0,1,1,199110,200110,"D",(null),(null),(null),(null),(null),(null)
"LFKO","PRP","PROPRIANO","FR","France (Métrop.)","M","CC",41.66,8.89,1,(null),199008,199008,"D",(null),(null),(null),(null),(null),(null)
"LFMS","XAS","ALES-CEVENNES","FR","France (Métrop.)","M","CC",44.07,4.14,(null),1,199107,199107,"D",(null),(null),(null),(null),(null),(null)
"LFEC","_nd","OUESSANT","FR","France (Métrop.)","M","CC",48.46,-5.06,1,1,199010,199804,"D",(null),(null),(null),(null),(null),(null)
