apt,apt_nom,dep,dep_avg_nvols,dep_avg_pax_fs,arr,arr_avg_nvols,arr_avg_pax_fs,sum_avg_nvols,sum_avg_pax_fs,apt_,mmin,mmax,duration
"LFTW","NIMES-GARONS","LFTW",40.0327,4726.2520,"LFTW",40.2531,4647.6340,80.2858,9373.8860,"LFTW",199001,201803,2802
"LFSN","NANCY-ESSEY","LFSN",56.5455,1649.7727,"LFSN",48.0714,1290.4762,104.6169,2940.2489,"LFSN",199001,199110,109
"LFSL","BRIVE-SOUILLAC","LFSL",41.5223,1452.9045,"LFSL",43.2368,1492.7895,84.7591,2945.6940,"LFSL",199010,201803,2793
"LFGJ","DOLE-TAVAUX","LFGJ",8.1765,1294.8009,"LFGJ",8.3032,1260.3710,16.4797,2555.1719,"LFGJ",199004,201803,2799
"LFSF","METZ-FRESCATY","LFSF",22.9118,893.4706,"LFSF",23.2083,946.8542,46.1201,1840.3248,"LFSF",199001,199405,404
"LFSB","BALE-MULHOUSE","LFSB",46.1961,2982.6801,"LFSB",45.5968,2956.8504,91.7929,5939.5305,"LFSB",199001,201803,2802
"LFRQ","QUIMPER-PLUGUFFAN","LFRQ",77.4112,4443.2538,"LFRQ",77.5025,4451.6878,154.9137,8894.9416,"LFRQ",199001,201803,2802
"LFJA","CHAUMONT-SEMOUTIER",(null),(null),(null),"LFJA",2.0000,654.0000,(null),(null),"LFJA",199709,199710,1
"LFTH","TOULON-HYERES","LFTH",65.9627,7023.0969,"LFTH",65.9383,7005.3827,131.9010,14028.4796,"LFTH",199001,201803,2802
"LFST","STRASBOURG-ENTZHEIM","LFST",58.1078,3331.6711,"LFST",57.6716,3300.7737,115.7794,6632.4448,"LFST",199001,201803,2802
"LFSG","EPINAL-MIRECOURT","LFSG",44.5625,628.6875,"LFSG",46.8852,660.8689,91.4477,1289.5564,"LFSG",199009,201508,2499
"LFAT","LE TOUQUET-COTE D’OP","LFAT",75.9286,1459.9286,"LFAT",74.8571,1456.7143,150.7857,2916.6429,"LFAT",199005,200308,1303
"LFRG","DEAUVILLE-NORMANDIE","LFRG",6.3786,846.0236,"LFRG",6.4228,838.0188,12.8014,1684.0424,"LFRG",199008,201803,2795
"LFLJ","COURCHEVEL","LFLJ",29.0000,573.0000,"LFLJ",38.0000,758.0000,67.0000,1331.0000,"LFLJ",199102,199103,1
"LFLO","ROANNE","LFLO",44.1053,540.8421,"LFLO",44.0000,532.9286,88.1053,1073.7707,"LFLO",199110,200110,1000
"LFKO","PROPRIANO","LFKO",251.0000,525.0000,(null),(null),(null),(null),(null),"LFKO",199008,199008,0
"LFMS","ALES-CEVENNES",(null),(null),(null),"LFMS",1.0000,524.0000,(null),(null),"LFMS",199107,199107,0
"LFEC","OUESSANT","LFEC",145.4211,708.7368,"LFEC",100.6667,552.6667,246.0878,1261.4035,"LFEC",199010,199804,794
"LFOP","ROUEN-VALLEE DE SEIN","LFOP",48.8438,777.4861,"LFOP",53.2196,1021.4112,102.0634,1798.8973,"LFOP",199111,201803,2692
"LFRO","LANNION","LFRO",51.7440,1782.2410,"LFRO",52.0211,1728.1994,103.7651,3510.4404,"LFRO",199001,201711,2710
"LFGA","COLMAR-HOUSSEN","LFGA",56.1364,2438.3182,"LFGA",55.0000,2524.0476,111.1364,4962.3658,"LFGA",199108,200008,900
"LFJL","METZ-NANCY-LORRAINE","LFJL",25.8236,1140.8112,"LFJL",26.7255,1175.2272,52.5491,2316.0384,"LFJL",199110,201803,2693
