dep,arr,fsc,zon,sum_nvols,sum_pax_fs,min_anmois,max_anmois,avg_nvols,avg_pax_fs,dep_,arr_,avg_pc15_d,avg_pc15_a,avg_retard_d,avg_retard_a,dep_apt_lat,dep_apt_long,arr_apt_lat,arr_apt_long
"BGSF","LFPG","LC","I",17,3553,201008,201608,0.0283,5.9118,(null),(null),(null),(null),(null),(null),67.02,-50.69,49.01,2.55
"BIKF","LFLL","MC","I",152,21413,201307,201709,0.3772,53.1340,"BIKF","LFLL",0.0,0.142,0.0,7.15,63.98,-22.61,45.73,5.08
"BIKF","LFML","MC","I",2,511,201606,201606,2.0000,511.0000,(null),(null),(null),(null),(null),(null),63.98,-22.61,43.44,5.22
"BIKF","LFMN","MC","I",42,5117,201606,201609,10.5000,1279.2500,"BIKF","LFMN",0.0,0.909,0.0,55.3,63.98,-22.61,43.67,7.22
"BIKF","LFPG","MC","I",6417,1021436,200801,201803,6.3978,1018.3809,"BIKF","LFPG",0.0,0.227,0.0,12.841,63.98,-22.61,49.01,2.55
"BIKF","LFPO","MC","I",913,128809,200308,201803,0.6103,86.1023,"BIKF","LFPO",0.0,0.363,0.0,19.009,63.98,-22.61,48.72,2.38
"BIKF","LFSB","MC","I",425,63528,200806,201803,0.4259,63.6553,(null),(null),(null),(null),(null),(null),63.98,-22.61,47.59,7.53
"BIKF","LFSR","MC","I",4,600,199610,199610,4.0000,600.0000,(null),(null),(null),(null),(null),(null),63.98,-22.61,49.31,4.05
"BIRK","LFPG","MC","I",2538,348449,199508,200712,2.1062,289.1693,(null),(null),(null),(null),(null),(null),64.13,-21.94,49.01,2.55
"BIRK","LFPO","MC","I",671,74475,199006,200607,0.4189,46.4888,(null),(null),(null),(null),(null),(null),64.13,-21.94,48.72,2.38
"BIRK","LFSB","MC","I",8,1147,200707,200708,4.0000,573.5000,(null),(null),(null),(null),(null),(null),64.13,-21.94,47.59,7.53
"BKPR","LFPG","MC","I",93,13775,201611,201710,0.9300,137.7500,(null),(null),(null),(null),(null),(null),42.57,21.04,49.01,2.55
"BKPR","LFRS","MC","I",11,1654,200405,200405,11.0000,1654.0000,(null),(null),(null),(null),(null),(null),42.57,21.04,47.16,-1.61
"BKPR","LFSB","MC","I",4923,638667,199701,201803,2.3409,303.6933,"BKPR","LFSB",0.0,0.152,0.0,10.83,42.57,21.04,47.59,7.53
"CY99","LFPG","LC","I",3,740,199912,199912,3.0000,740.0000,(null),(null),(null),(null),(null),(null),0.0,0.0,49.01,2.55
"CYEG","LFPG","LC","I",6,1661,199607,199608,3.0000,830.5000,(null),(null),(null),(null),(null),(null),53.31,-113.58,49.01,2.55
"CYHZ","LFPG","LC","I",14,2502,200307,200709,0.0347,6.2084,(null),(null),(null),(null),(null),(null),44.88,-63.51,49.01,2.55
"CYHZ","LFPO","LC","I",27,6728,200807,201008,0.1337,33.3069,(null),(null),(null),(null),(null),(null),44.88,-63.51,48.72,2.38
"CYMX","LFBD","LC","I",174,40406,199505,200109,0.2876,66.7868,(null),(null),(null),(null),(null),(null),45.68,-74.04,44.83,-0.72
"CYMX","LFBL","LC","I",3,671,199606,199606,3.0000,671.0000,(null),(null),(null),(null),(null),(null),45.68,-74.04,45.86,1.18
"CYMX","LFBO","LC","I",494,121661,199008,200410,0.3521,86.7149,(null),(null),(null),(null),(null),(null),45.68,-74.04,43.64,1.37
"CYMX","LFLL","LC","I",684,160007,199007,200410,0.4872,113.9651,(null),(null),(null),(null),(null),(null),45.68,-74.04,45.73,5.08
"CYMX","LFML","LC","I",281,75717,199405,200409,0.2796,75.3403,(null),(null),(null),(null),(null),(null),45.68,-74.04,43.44,5.22
"CYMX","LFMN","LC","I",513,117645,199006,200410,0.3651,83.7331,(null),(null),(null),(null),(null),(null),45.68,-74.04,43.67,7.22
"CYMX","LFPG","LC","I",10561,2475656,199001,200412,7.4795,1753.2975,(null),(null),(null),(null),(null),(null),45.68,-74.04,49.01,2.55
"CYMX","LFPO","LC","I",1674,416217,199001,200410,1.1872,295.1894,(null),(null),(null),(null),(null),(null),45.68,-74.04,48.72,2.38
"CYMX","LFRS","LC","I",357,90647,199007,200410,0.2543,64.5634,(null),(null),(null),(null),(null),(null),45.68,-74.04,47.16,-1.61
"CYMX","LFSB","LC","I",169,44353,199006,200109,0.1531,40.1748,(null),(null),(null),(null),(null),(null),45.68,-74.04,47.59,7.53
"CYMX","LFST","LC","I",23,3795,199607,199708,0.2255,37.2059,(null),(null),(null),(null),(null),(null),45.68,-74.04,48.54,7.63
"CYOW","LFPG","LC","I",21,5042,200607,200808,0.1040,24.9604,(null),(null),(null),(null),(null),(null),45.32,-75.67,49.01,2.55
"CYQB","LFBD","LC","I",3,609,201009,201009,3.0000,609.0000,(null),(null),(null),(null),(null),(null),46.79,-71.39,44.83,-0.72
"CYQB","LFML","LC","I",60,13329,201007,201308,0.1987,44.1358,(null),(null),(null),(null),(null),(null),46.79,-71.39,43.44,5.22
"CYQB","LFMN","LC","I",21,4537,199306,199508,0.1034,22.3498,(null),(null),(null),(null),(null),(null),46.79,-71.39,43.67,7.22
"CYQB","LFPG","LC","I",2112,541726,199006,201803,0.7548,193.6119,"CYQB","LFPG",0.0,0.166,0.0,13.0,46.79,-71.39,49.01,2.55
"CYQB","LFPO","LC","I",43,12929,199607,201009,0.0306,9.2153,(null),(null),(null),(null),(null),(null),46.79,-71.39,48.72,2.38
"CYQB","LFRS","LC","I",20,4514,200906,201008,0.1942,43.8252,(null),(null),(null),(null),(null),(null),46.79,-71.39,47.16,-1.61
"CYQM","LFPG","LC","I",35,7073,199906,200109,0.1716,34.6716,(null),(null),(null),(null),(null),(null),46.11,-64.68,49.01,2.55
"CYQM","LFPO","LC","I",44,14560,200407,200709,0.1452,48.0528,(null),(null),(null),(null),(null),(null),46.11,-64.68,48.72,2.38
"CYQX","LFML","LC","I",2,672,199308,199308,2.0000,672.0000,(null),(null),(null),(null),(null),(null),48.94,-54.57,43.44,5.22
"CYQX","LFPG","LC","I",69,19113,199207,199707,0.1377,38.1497,(null),(null),(null),(null),(null),(null),48.94,-54.57,49.01,2.55
"CYQX","LFSB","LC","I",18,3001,199501,199504,4.5000,750.2500,(null),(null),(null),(null),(null),(null),48.94,-54.57,47.59,7.53
"CYUL","LFBD","LC","I",441,108031,200606,201710,0.3991,97.7656,"CYUL","LFBD",0.0,0.1,0.0,4.2,45.47,-73.74,44.83,-0.72
"CYUL","LFBO","LC","I",654,156846,200505,201710,0.5423,130.0547,"CYUL","LFBO",0.0,0.186,0.0,10.24,45.47,-73.74,43.64,1.37
"CYUL","LFLL","LC","I",1431,333251,200505,201803,1.1016,256.5443,"CYUL","LFLL",0.0,0.314,0.0,19.133,45.47,-73.74,45.73,5.08
"CYUL","LFML","LC","I",1098,270688,200505,201711,0.9097,224.2651,"CYUL","LFML",0.0,0.317,0.0,19.411,45.47,-73.74,43.44,5.22
"CYUL","LFMN","LC","I",938,205570,200505,201710,0.7778,170.4561,"CYUL","LFMN",0.0,0.276,0.0,19.319,45.47,-73.74,43.67,7.22
"CYUL","LFPG","LC","I",33430,9738781,199201,201803,12.8429,3741.3680,"CYUL","LFPG",0.0,0.256,0.0,13.513,45.47,-73.74,49.01,2.55
"CYUL","LFPO","LC","I",1611,549730,199801,201709,0.8439,287.9675,"CYUL","LFPO",0.0,0.341,0.0,20.086,45.47,-73.74,48.72,2.38
"CYUL","LFRS","LC","I",515,126920,200505,201710,0.4270,105.2405,"CYUL","LFRS",0.0,0.25,0.0,11.85,45.47,-73.74,47.16,-1.61
"CYUL","LFSB","LC","I",147,32916,200808,201709,0.1630,36.4922,(null),(null),(null),(null),(null),(null),45.47,-73.74,47.59,7.53
"CYVR","LFPG","LC","I",968,256683,199407,201803,0.4038,107.0851,"CYVR","LFPG",0.0,0.316,0.0,18.113,49.2,-123.18,49.01,2.55
"CYYC","LFPG","LC","I",341,96648,199807,201610,0.1890,53.5743,(null),(null),(null),(null),(null),(null),51.11,-114.02,49.01,2.55
"CYYZ","LFJL","LC","I",17,3751,199408,199905,0.0341,7.5321,(null),(null),(null),(null),(null),(null),43.68,-79.63,48.98,6.25
"CYYZ","LFPG","LC","I",21945,4638547,199001,201803,7.8291,1654.8509,"CYYZ","LFPG",0.0,0.316,0.0,17.836,43.68,-79.63,49.01,2.55
"CYYZ","LFPO","LC","I",41,10916,199005,201209,0.0186,4.9506,(null),(null),(null),(null),(null),(null),43.68,-79.63,48.72,2.38
"CYYZ","LFRS","LC","I",10,2433,199909,200406,0.0201,4.8855,(null),(null),(null),(null),(null),(null),43.68,-79.63,47.16,-1.61
"CYYZ","LFSB","LC","I",4,927,200807,200807,4.0000,927.0000,(null),(null),(null),(null),(null),(null),43.68,-79.63,47.59,7.53
"DAAE","LFLL","MC","I",3124,302200,199308,201803,1.2516,121.0737,"DAAE","LFLL",0.0,0.353,0.0,27.081,36.72,5.07,45.73,5.08
"DAAE","LFMH","MC","I",13,1193,200209,201408,0.0108,0.9942,(null),(null),(null),(null),(null),(null),36.72,5.07,45.53,4.3
"DAAE","LFML","MC","I",2522,234660,199408,201803,1.0526,97.9382,"DAAE","LFML",0.0,0.265,0.0,16.226,36.72,5.07,43.44,5.22
"DAAE","LFOK","MC","I",19,2051,201608,201709,0.1863,20.1078,(null),(null),(null),(null),(null),(null),36.72,5.07,48.77,4.21
"DAAE","LFPG","MC","I",1264,152148,199706,201708,0.6311,75.9601,"DAAE","LFPG",0.0,0.69,0.0,89.7,36.72,5.07,49.01,2.55
"DAAE","LFPO","MC","I",7974,935615,199308,201803,3.1947,374.8458,"DAAE","LFPO",0.0,0.418,0.0,24.837,36.72,5.07,48.72,2.38
"DAAG","LFBD","MC","I",978,109577,199001,201803,0.3489,39.0928,"DAAG","LFBD",0.0,0.608,0.0,38.885,36.69,3.22,44.83,-0.72
"DAAG","LFBO","MC","I",5471,501216,199001,201803,1.9518,178.8141,"DAAG","LFBO",0.0,0.449,0.0,28.103,36.69,3.22,43.64,1.37
"DAAG","LFJL","MC","I",1825,202875,199908,201803,0.9626,107.0016,"DAAG","LFJL",0.0,0.383,0.0,25.608,36.69,3.22,48.98,6.25
"DAAG","LFLL","MC","I",16379,1783778,199001,201803,5.8434,636.3817,"DAAG","LFLL",0.0,0.491,0.0,30.287,36.69,3.22,45.73,5.08
"DAAG","LFLS","MC","I",6,651,199001,199001,6.0000,651.0000,(null),(null),(null),(null),(null),(null),36.69,3.22,45.36,5.33
"DAAG","LFML","MC","I",27910,2798243,199001,201803,9.9572,998.3029,"DAAG","LFML",0.0,0.384,0.0,22.448,36.69,3.22,43.44,5.22
"DAAG","LFMN","MC","I",2680,186739,199003,201803,0.9568,66.6687,"DAAG","LFMN",0.0,0.549,0.0,30.474,36.69,3.22,43.67,7.22
"DAAG","LFMT","MC","I",324,24137,200208,201803,0.2030,15.1234,"DAAG","LFMT",0.0,0.303,0.0,16.42,36.69,3.22,43.58,3.96
"DAAG","LFOK","MC","I",114,10296,201604,201709,1.0755,97.1321,"DAAG","LFOK",0.0,0.138,0.0,5.267,36.69,3.22,48.77,4.21
"DAAG","LFPG","MC","I",35799,4551254,199001,201803,12.7717,1623.7082,"DAAG","LFPG",0.0,0.32,0.0,18.488,36.69,3.22,49.01,2.55
"DAAG","LFPO","MC","I",49223,7109506,199001,201803,17.5608,2536.3917,"DAAG","LFPO",0.0,0.525,0.0,28.891,36.69,3.22,48.72,2.38
"DAAG","LFQQ","MC","I",6979,743766,199001,201803,2.4898,265.3464,"DAAG","LFQQ",0.0,0.47,0.0,31.432,36.69,3.22,50.56,3.09
"DAAG","LFRS","MC","I",258,28900,200208,201803,0.1617,18.1078,"DAAG","LFRS",0.0,0.542,0.0,28.625,36.69,3.22,47.16,-1.61
"DAAG","LFSB","MC","I",483,61247,200708,201803,0.4407,55.8823,(null),(null),(null),(null),(null),(null),36.69,3.22,47.59,7.53
"DAAG","LFST","MC","I",334,30971,199001,201803,0.1192,11.0492,"DAAG","LFST",0.0,0.5,0.0,72.9,36.69,3.22,48.54,7.63
"DAAJ","LFML","MC","I",45,6284,200304,201004,0.0642,8.9643,(null),(null),(null),(null),(null),(null),24.29,9.45,43.44,5.22
"DAAJ","LFPG","MC","I",36,4998,200211,200811,0.0599,8.3161,(null),(null),(null),(null),(null),(null),24.29,9.45,49.01,2.55
"DAAJ","LFPO","MC","I",53,9125,200303,201003,0.0756,13.0171,(null),(null),(null),(null),(null),(null),24.29,9.45,48.72,2.38
"DAAS","LFLL","MC","I",4411,454635,200605,201803,3.6789,379.1785,"DAAS","LFLL",0.0,0.438,0.0,30.246,36.17,5.32,45.73,5.08
"DAAS","LFML","MC","I",684,61478,200611,201803,0.5733,51.5323,"DAAS","LFML",0.0,0.258,0.0,19.981,36.17,5.32,43.44,5.22
"DAAS","LFPG","MC","I",9,1443,200808,201708,0.0100,1.6016,(null),(null),(null),(null),(null),(null),36.17,5.32,49.01,2.55
"DAAS","LFPO","MC","I",3820,407481,200607,201803,3.1913,340.4185,"DAAS","LFPO",0.0,0.338,0.0,24.759,36.17,5.32,48.72,2.38
"DAAS","LFSB","MC","I",152,21232,200808,201711,0.1681,23.4867,(null),(null),(null),(null),(null),(null),36.17,5.32,47.59,7.53
